account_id,loan_amount,outstanding_amount,days_past_due,customer_location,customer_income_band,previous_payment_history,num_contact_attempts,last_contact_channel,last_contact_outcome,assigned_channel,recovery_amount
A3937,121170,115279,114,Tier 1,Low,Average,7,Call,No Response,Call,0
A3938,39168,38429,296,Tier 3,Medium,Average,2,Field,Refused,Field,0
A3939,79879,66044,200,Tier 2,Low,Good,4,Call,Refused,Legal,0
A3940,89871,82598,187,Tier 3,Medium,Average,2,Legal,Refused,Call,0
A3941,62174,47413,248,Tier 3,Medium,Good,3,Call,Paid,Field,27187
A3942,167653,101289,10,Tier 2,Medium,Good,7,Call,Promised,Call,0
A3943,140155,106846,119,Tier 2,Low,Poor,4,Call,Paid,Field,50289
A3944,101853,79194,284,Tier 3,Medium,Poor,1,Call,No Response,Field,0
A3945,94046,81935,243,Tier 1,Medium,Poor,3,Field,Paid,Field,0
A3946,79678,48598,73,Tier 1,Low,Poor,5,Legal,Refused,Call,0
A3947,56649,38756,253,Tier 2,Medium,Poor,7,Field,Paid,Call,0
A3948,157795,107618,62,Tier 2,Medium,Average,5,Call,Promised,Call,76622
A3949,118668,116261,271,Tier 1,Low,Poor,6,None,Refused,Call,0
A3950,175639,126806,26,Tier 1,Low,Average,6,Call,Refused,Call,0
A3951,119906,105223,243,Tier 1,Medium,Good,4,Call,No Response,Legal,0
A3952,126019,110317,82,Tier 1,High,Average,3,None,No Response,Call,65440
A3953,108002,68340,100,Tier 1,Medium,Average,6,None,No Response,Field,0
A3954,58803,46215,15,Tier 1,High,Average,3,Field,No Response,Call,24403
A3955,179302,169826,207,Tier 1,Medium,Average,3,Call,Promised,Call,125212
A3956,178934,131981,205,Tier 2,High,Average,7,Call,No Response,Field,0
A3957,192331,187053,146,Tier 1,High,Good,5,Field,No Response,Call,111916
A3958,60795,36916,276,Tier 3,Low,Good,4,Legal,No Response,Legal,0
A3959,38770,20822,125,Tier 2,Low,Average,5,Call,Paid,Field,0
A3960,41093,38862,52,Tier 1,Low,Good,7,Field,Paid,Legal,13614
A3961,161265,148983,240,Tier 1,Low,Good,6,Call,No Response,Legal,0
A3962,130311,129828,67,Tier 2,Medium,Poor,2,Legal,No Response,Field,0
A3963,47569,39943,215,Tier 1,Medium,Poor,6,Field,No Response,Field,0
A3964,41190,39886,103,Tier 3,High,Good,1,None,Refused,Field,19167
A3965,92824,84792,45,Tier 2,Medium,Good,5,Legal,Refused,Call,51169
A3966,193399,178355,239,Tier 2,Medium,Poor,4,Call,Paid,Legal,0
A3967,72070,56544,236,Tier 3,Medium,Poor,5,Call,Refused,Call,0
A3968,70197,48518,192,Tier 2,Medium,Average,2,Field,No Response,Field,0
A3969,32261,31205,271,Tier 3,Medium,Average,2,Call,Refused,Field,0
A3970,187584,134321,140,Tier 3,Medium,Good,2,None,Refused,Field,0
A3971,167788,129097,74,Tier 3,Medium,Average,2,Call,Promised,Field,0
A3972,116795,84449,195,Tier 3,Low,Average,1,Legal,Promised,Call,58473
A3973,58933,46109,126,Tier 1,Medium,Good,3,Call,No Response,Field,0
A3974,165450,121647,195,Tier 1,Medium,Average,6,Call,Promised,Legal,45010
A3975,70583,36984,283,Tier 1,Low,Average,2,Call,Promised,Call,23518
A3976,142082,133702,160,Tier 3,Medium,Poor,1,Field,Paid,Call,0
A3977,115371,83320,160,Tier 1,Low,Poor,5,Field,Refused,Field,0
A3978,190105,151033,45,Tier 1,Medium,Poor,2,Call,Promised,Call,0
A3979,185072,105415,104,Tier 3,Low,Average,7,Call,Refused,Call,0
A3980,141032,70754,143,Tier 1,Low,Good,5,Call,Refused,Call,0
A3981,72604,45206,171,Tier 2,Low,Poor,5,Call,Refused,Field,0
A3982,125074,106599,53,Tier 3,High,Average,4,Legal,No Response,Field,0
A3983,103869,57086,292,Tier 2,Low,Average,1,Field,No Response,Field,0
A3984,35410,33796,249,Tier 2,Low,Average,1,Call,Promised,Legal,0
A3985,113375,68876,61,Tier 2,Medium,Poor,2,Call,Refused,Call,0
A3986,126055,75922,290,Tier 2,Medium,Good,2,Call,Promised,Legal,46288
A3987,167868,99168,83,Tier 1,Low,Poor,2,Field,Paid,Field,0
A3988,116716,59173,247,Tier 2,Medium,Average,7,Legal,Promised,Field,0
A3989,84245,74632,176,Tier 1,Low,Good,1,Legal,Promised,Field,0
A3990,73056,68491,149,Tier 2,Medium,Poor,5,Legal,No Response,Field,0
A3991,178781,144290,148,Tier 2,Medium,Poor,5,Call,Promised,Call,0
A3992,88557,52611,244,Tier 1,Low,Good,2,None,Promised,Legal,0
A3993,47543,30552,12,Tier 2,High,Poor,5,Call,Paid,Call,0
A3994,198490,146478,265,Tier 2,Low,Good,2,Legal,Refused,Call,0
A3995,126038,123160,287,Tier 1,High,Average,6,Call,No Response,Call,0
A3996,177796,110887,13,Tier 1,Medium,Average,3,Call,No Response,Field,31967
A3997,33828,29289,279,Tier 3,Low,Average,5,Call,No Response,Legal,0
A3998,146656,105551,221,Tier 3,Low,Good,6,Call,Promised,Call,30793
A3999,47087,30555,225,Tier 2,High,Average,1,Call,Promised,Call,15308
A4000,173677,126429,279,Tier 2,Medium,Good,6,Call,Refused,Call,0
A4001,61337,32852,25,Tier 2,Low,Poor,4,Field,Paid,Legal,14674
A4002,166554,149789,73,Tier 3,Low,Good,6,Field,Refused,Call,0
A4003,95333,59263,248,Tier 1,High,Poor,6,Call,Paid,Call,0
A4004,166535,143670,25,Tier 3,Medium,Poor,6,Call,Promised,Call,0
A4005,100448,53656,61,Tier 2,Low,Good,7,Legal,Refused,Legal,0
A4006,34648,33870,28,Tier 2,High,Poor,1,Field,No Response,Call,0
A4007,160576,95784,102,Tier 2,Medium,Average,1,Field,No Response,Legal,0
A4008,63623,59892,270,Tier 1,Medium,Poor,4,None,Paid,Call,0
A4009,65634,59381,26,Tier 2,Medium,Average,2,Call,No Response,Call,16635
A4010,144598,142274,120,Tier 1,High,Good,5,Call,Refused,Call,35937
A4011,79334,58623,103,Tier 1,Low,Good,1,Field,Refused,Call,43297
A4012,98648,85202,19,Tier 2,High,Poor,5,Legal,No Response,Call,0
A4013,52054,35675,221,Tier 1,High,Poor,7,Field,Refused,Legal,0
A4014,100028,59234,246,Tier 1,Low,Average,4,Field,No Response,Field,0
A4015,52207,37669,263,Tier 3,Medium,Average,6,Field,Refused,Legal,0
A4016,111554,65021,25,Tier 3,High,Average,4,Call,Promised,Field,20477
A4017,182458,180819,153,Tier 2,Medium,Average,7,Call,Promised,Legal,0
A4018,113276,62089,51,Tier 3,Medium,Good,5,Call,Refused,Field,26111
A4019,82781,65778,12,Tier 3,Medium,Poor,5,Call,No Response,Call,0
A4020,91035,74032,165,Tier 2,Medium,Good,7,Call,No Response,Field,0
A4021,38210,29385,182,Tier 3,Medium,Poor,4,Legal,Promised,Call,0
A4022,74363,61802,33,Tier 1,Medium,Average,2,Call,Promised,Call,29645
A4023,108279,60429,284,Tier 2,Medium,Poor,5,Call,Promised,Field,0
A4024,183504,142676,84,Tier 1,Medium,Good,7,Call,Paid,Field,35642
A4025,164393,105804,49,Tier 3,Low,Average,3,Field,Promised,Field,29933
A4026,111348,108017,49,Tier 3,Medium,Average,6,Field,Refused,Field,55656
A4027,198455,174845,71,Tier 2,Low,Good,7,Field,Promised,Call,0
A4028,143816,141839,247,Tier 2,Medium,Poor,7,Call,Promised,Call,0
A4029,153053,79400,254,Tier 3,Low,Poor,3,Field,No Response,Field,49198
A4030,196892,126516,27,Tier 3,Medium,Average,5,Legal,No Response,Call,89407
A4031,96262,57536,149,Tier 1,Medium,Average,1,Field,No Response,Field,0
A4032,164832,83335,91,Tier 3,Medium,Average,4,Call,No Response,Call,0
A4033,183262,113835,198,Tier 1,Low,Average,2,Call,Promised,Call,0
A4034,97411,81765,117,Tier 2,Low,Poor,3,Legal,No Response,Call,0
A4035,53377,32855,243,Tier 1,High,Average,3,Field,Promised,Call,23573
A4036,68211,51465,277,Tier 1,Medium,Poor,1,Legal,Promised,Legal,0
A4037,33744,31851,113,Tier 1,Low,Good,5,Call,Refused,Call,16786
A4038,54995,46574,143,Tier 2,High,Average,1,Call,No Response,Call,0
A4039,178049,124156,42,Tier 2,Low,Average,2,Call,Refused,Legal,0
A4040,64542,44290,246,Tier 1,Medium,Average,5,Call,Paid,Call,16479
A4041,40651,29588,187,Tier 3,Medium,Average,3,Field,Promised,Field,16206
A4042,129239,76059,21,Tier 3,Low,Good,3,Legal,No Response,Field,43642
A4043,108931,88996,238,Tier 3,Low,Average,7,Call,Paid,Legal,0
A4044,132112,90110,278,Tier 2,Medium,Poor,4,Call,Refused,Call,0
A4045,46715,43266,140,Tier 2,Medium,Average,2,Call,Paid,Call,0
A4046,185378,162813,258,Tier 1,Medium,Average,7,None,No Response,Call,0
A4047,180158,145073,67,Tier 1,Medium,Poor,7,Call,No Response,Field,0
A4048,175448,119673,13,Tier 3,Low,Poor,3,Call,Refused,Call,0
A4049,91350,55263,245,Tier 1,High,Good,1,Call,Promised,Call,20565
A4050,101425,90073,182,Tier 3,Low,Good,3,Field,Promised,Field,0
A4051,197708,146937,45,Tier 1,Low,Average,1,Legal,Refused,Call,0
A4052,116120,71108,288,Tier 1,Medium,Good,1,Call,Promised,Legal,0
A4053,144889,86583,246,Tier 1,High,Average,6,Call,No Response,Field,0
A4054,195682,114023,284,Tier 3,Medium,Average,6,Call,Promised,Call,0
A4055,171130,152062,67,Tier 2,Low,Good,7,Call,Refused,Call,91287
A4056,104637,64298,27,Tier 1,High,Good,6,Call,Refused,Call,0
A4057,100194,76480,45,Tier 2,Medium,Poor,5,Call,Refused,Call,23288
A4058,106917,77597,138,Tier 3,Medium,Poor,5,Legal,No Response,Call,0
A4059,94200,74399,10,Tier 2,High,Average,7,Legal,Paid,Call,0
A4060,135848,127503,73,Tier 1,Low,Average,3,Legal,Paid,Legal,48130
A4061,136022,127027,71,Tier 1,Medium,Good,3,Legal,No Response,Legal,96291
A4062,178226,129309,155,Tier 3,High,Average,1,Call,Paid,Call,65432
A4063,180611,91693,281,Tier 2,Low,Poor,5,Call,Paid,Call,0
A4064,90058,64231,26,Tier 3,Medium,Poor,7,Field,Paid,Call,0
A4065,92068,73939,289,Tier 2,Low,Average,3,Field,Promised,Call,21465
A4066,129932,101201,107,Tier 1,High,Average,5,Field,No Response,Call,0
A4067,191445,158070,236,Tier 2,Medium,Average,2,Field,Paid,Call,95008
A4068,194226,112075,252,Tier 2,Low,Poor,1,None,Refused,Call,0
A4069,167103,137570,210,Tier 1,Medium,Poor,6,Field,Promised,Call,0
A4070,52785,31213,188,Tier 3,Medium,Average,7,Call,Promised,Call,10544
A4071,189741,166073,279,Tier 2,Medium,Good,5,Call,Promised,Legal,0
A4072,124475,83341,243,Tier 2,Medium,Good,3,Call,No Response,Call,0
A4073,32282,27599,121,Tier 1,Low,Good,7,Field,Paid,Call,6096
A4074,195696,102531,75,Tier 1,Medium,Good,7,Call,Paid,Call,74144
A4075,97534,68657,254,Tier 2,Low,Good,1,Call,Paid,Field,0
A4076,192777,164345,254,Tier 2,High,Average,4,None,No Response,Call,75705
A4077,199316,122267,81,Tier 1,Medium,Good,1,Call,Promised,Legal,81481
A4078,104964,94220,58,Tier 1,Medium,Poor,2,Call,No Response,Call,0
A4079,198509,161862,199,Tier 2,Medium,Average,1,Call,Refused,Legal,0
A4080,149006,118278,186,Tier 3,Medium,Poor,6,Legal,Promised,Call,0
A4081,80583,54536,170,Tier 1,High,Average,6,Legal,Paid,Call,0
A4082,68392,50693,159,Tier 2,Medium,Poor,5,Field,No Response,Legal,0
A4083,37461,29919,79,Tier 1,Medium,Average,5,Field,Promised,Call,0
A4084,130123,95800,42,Tier 2,Medium,Good,3,None,Paid,Legal,68276
A4085,40516,34404,293,Tier 2,Medium,Average,3,Call,No Response,Field,0
A4086,178586,128019,269,Tier 1,Low,Good,1,Call,No Response,Call,0
A4087,151251,90922,86,Tier 2,High,Average,6,Call,Promised,Legal,49470
A4088,197340,119778,119,Tier 1,Medium,Average,1,Call,Refused,Call,30919
A4089,197860,99504,148,Tier 1,Medium,Average,7,Call,Promised,Field,0
A4090,92493,60164,44,Tier 2,Low,Poor,6,None,Refused,Call,0
A4091,66027,57737,244,Tier 2,Medium,Poor,7,Call,No Response,Call,0
A4092,123547,110831,209,Tier 3,Low,Average,1,Legal,No Response,Field,43460
A4093,130127,78236,160,Tier 1,High,Poor,5,Legal,Refused,Field,27519
A4094,178930,175265,43,Tier 3,Medium,Good,5,Call,No Response,Call,0
A4095,109003,81883,133,Tier 1,Medium,Good,4,None,Refused,Call,0
A4096,69758,66862,41,Tier 1,Low,Average,4,Field,Promised,Call,0
A4097,84312,71950,281,Tier 2,Low,Average,4,Field,Promised,Field,0
A4098,98670,84976,133,Tier 2,Low,Average,3,Call,Refused,Legal,0
A4099,112279,60913,87,Tier 3,Low,Poor,5,Field,Promised,Legal,34263
A4100,45434,27714,85,Tier 2,High,Good,1,Call,No Response,Call,0
A4101,105769,53350,69,Tier 1,Medium,Average,1,Call,Paid,Call,23821
A4102,96677,82955,94,Tier 3,Medium,Good,4,Call,No Response,Field,0
A4103,113555,76333,89,Tier 1,Low,Average,3,Call,Refused,Field,0
A4104,158379,141484,181,Tier 1,High,Good,3,Legal,No Response,Field,0
A4105,131665,88145,267,Tier 2,Medium,Average,4,Field,No Response,Legal,0
A4106,98803,89877,288,Tier 3,Medium,Good,1,Call,No Response,Call,40206
A4107,121703,68804,230,Tier 2,Low,Poor,3,Legal,No Response,Call,0
A4108,51312,30104,55,Tier 2,High,Good,6,Call,Promised,Legal,17843
A4109,147961,99198,82,Tier 2,Medium,Average,6,Call,Paid,Field,21734
A4110,70379,49563,63,Tier 2,Medium,Poor,2,Call,No Response,Field,0
A4111,47297,31894,230,Tier 3,Medium,Average,6,Legal,No Response,Call,0
A4112,32011,28228,18,Tier 1,Medium,Poor,4,Field,No Response,Field,7886
A4113,150234,82399,181,Tier 1,Medium,Poor,1,Call,No Response,Field,60407
A4114,74014,50004,93,Tier 1,High,Average,2,Call,Promised,Field,0
A4115,172810,158746,21,Tier 3,High,Good,5,Call,No Response,Field,111391
A4116,124333,66319,41,Tier 2,Low,Average,1,Legal,Promised,Field,50711
A4117,41120,39934,298,Tier 2,Medium,Average,7,None,No Response,Legal,0
A4118,169839,168677,281,Tier 1,Low,Average,2,Field,Promised,Call,54960
A4119,52852,28766,187,Tier 1,High,Average,5,Call,Promised,Call,11639
A4120,109239,70528,123,Tier 3,Low,Poor,3,Field,No Response,Call,18837
A4121,162001,111165,35,Tier 1,Low,Good,1,None,No Response,Legal,0
A4122,121575,107982,246,Tier 2,Medium,Average,1,None,Paid,Call,0
A4123,125040,99777,181,Tier 1,Medium,Average,3,None,Refused,Call,0
A4124,178510,146767,242,Tier 2,Low,Good,1,Field,Promised,Call,0
A4125,35744,31410,46,Tier 2,Medium,Average,4,Call,No Response,Call,18350
A4126,168141,93989,274,Tier 3,High,Average,7,Legal,Paid,Call,0
A4127,72359,66324,22,Tier 2,Medium,Poor,2,Legal,No Response,Legal,0
A4128,180871,154248,115,Tier 2,Medium,Average,5,Call,No Response,Call,0
A4129,128746,101538,135,Tier 2,Low,Average,5,Legal,Promised,Call,67916
A4130,150906,142586,139,Tier 3,Low,Good,2,None,Refused,Field,0
A4131,37597,31963,265,Tier 2,Medium,Good,4,Legal,Refused,Field,18241
A4132,77093,46321,124,Tier 1,Medium,Good,1,Field,No Response,Legal,25842
A4133,198298,141757,133,Tier 2,Medium,Good,3,Field,Promised,Field,0
A4134,144650,108056,265,Tier 2,Medium,Poor,3,Legal,Refused,Call,0
A4135,187489,98920,148,Tier 3,Medium,Good,7,Field,Paid,Legal,67411
A4136,179765,175687,215,Tier 1,Medium,Poor,1,Call,Paid,Field,0
A4137,150956,85182,56,Tier 1,Low,Poor,6,Call,No Response,Call,0
A4138,145598,123573,226,Tier 3,High,Average,5,Field,Promised,Call,0
A4139,163241,122939,132,Tier 3,Low,Poor,2,Call,No Response,Legal,0
A4140,183124,93908,40,Tier 2,Medium,Poor,2,Field,No Response,Call,0
A4141,38036,36604,64,Tier 1,Low,Poor,5,Call,No Response,Call,9259
A4142,61778,57201,162,Tier 1,Medium,Average,2,Field,Paid,Call,36911
A4143,188806,143894,295,Tier 1,Medium,Poor,5,Field,No Response,Field,0
A4144,184245,113213,45,Tier 2,Medium,Poor,4,Legal,Promised,Call,0
A4145,191475,107381,294,Tier 1,Medium,Good,1,Field,No Response,Call,78982
A4146,167416,114126,265,Tier 3,Medium,Average,5,Legal,Refused,Call,67058
A4147,48800,30632,187,Tier 1,High,Average,4,Call,No Response,Call,0
A4148,55372,41714,45,Tier 2,Low,Average,5,Call,No Response,Field,0
A4149,91516,89978,263,Tier 2,Medium,Average,4,Call,Paid,Call,0
A4150,50538,39797,171,Tier 2,Medium,Average,4,Legal,Paid,Call,0
A4151,93918,88749,30,Tier 2,Medium,Good,4,Field,Promised,Call,54171
A4152,176045,145314,84,Tier 2,High,Average,7,Call,Promised,Field,85139
A4153,101155,74614,216,Tier 3,Low,Average,1,Legal,Promised,Field,0
A4154,89500,82993,187,Tier 3,Medium,Poor,7,Call,No Response,Legal,0
A4155,197647,145405,46,Tier 1,Medium,Average,5,Call,Promised,Call,100952
A4156,140659,131419,129,Tier 1,Medium,Good,6,Call,Refused,Legal,57570
A4157,57716,37272,127,Tier 3,High,Average,7,Call,No Response,Call,0
A4158,164308,92736,10,Tier 2,Medium,Poor,5,Call,Promised,Legal,0
A4159,176920,164121,218,Tier 3,High,Average,5,None,Refused,Legal,117326
A4160,32352,25678,217,Tier 2,High,Average,4,Field,Refused,Legal,0
A4161,163004,153964,163,Tier 1,Medium,Poor,2,Field,Refused,Call,0
A4162,106449,103139,259,Tier 2,Medium,Good,2,Field,No Response,Call,37342
A4163,38556,20311,180,Tier 2,Low,Good,5,Call,No Response,Call,0
A4164,116836,87683,116,Tier 2,Medium,Average,2,None,Promised,Field,0
A4165,166570,114513,152,Tier 3,Low,Poor,6,None,No Response,Field,0
A4166,80098,65114,17,Tier 2,Medium,Average,7,Legal,No Response,Field,17522
A4167,142169,127496,103,Tier 1,High,Good,2,Call,Promised,Call,0
A4168,170641,109260,106,Tier 2,Medium,Average,2,Legal,Refused,Field,25890
A4169,156060,121476,16,Tier 2,Medium,Average,4,Call,Refused,Call,31464
A4170,160544,137163,283,Tier 2,High,Poor,7,Field,Paid,Field,0
A4171,30340,17209,21,Tier 2,Medium,Poor,5,Call,Paid,Legal,0
A4172,112302,101861,11,Tier 2,Medium,Poor,7,Call,Paid,Field,48257
A4173,30138,24202,16,Tier 2,Medium,Average,6,None,Refused,Field,0
A4174,161430,157356,21,Tier 2,Low,Good,7,None,Paid,Call,0
A4175,149619,100209,66,Tier 2,Medium,Poor,6,None,Promised,Call,0
A4176,115376,63926,87,Tier 1,Medium,Average,7,Call,Paid,Call,35615
A4177,129931,97870,83,Tier 2,Medium,Average,7,Call,No Response,Legal,0
A4178,191726,104089,242,Tier 2,Medium,Average,5,None,No Response,Call,0
A4179,186951,184102,288,Tier 1,Low,Good,6,Call,No Response,Legal,0
A4180,111532,57923,39,Tier 3,Medium,Average,3,Field,No Response,Call,33675
A4181,85778,75206,104,Tier 1,Medium,Poor,3,Call,Refused,Field,0
A4182,67772,51679,65,Tier 1,High,Average,2,Call,No Response,Field,0
A4183,88478,60546,19,Tier 2,Medium,Average,7,Legal,Refused,Field,0
A4184,56762,30249,156,Tier 1,Low,Good,5,Call,Refused,Field,0
A4185,174355,141416,96,Tier 2,Medium,Poor,2,Field,Promised,Field,0
A4186,85568,67822,262,Tier 2,Medium,Poor,4,Call,Promised,Call,0
A4187,115090,73708,196,Tier 1,Medium,Average,5,Call,No Response,Legal,0
A4188,50219,47964,242,Tier 3,High,Average,6,Call,Promised,Call,25839
A4189,87169,56838,262,Tier 1,Low,Good,4,Field,No Response,Call,18424
A4190,104965,76085,233,Tier 2,Medium,Good,4,None,No Response,Field,0
A4191,114754,88576,13,Tier 3,Low,Average,5,Legal,Paid,Call,63723
A4192,107988,59405,121,Tier 2,High,Average,2,Field,No Response,Field,0
A4193,180023,173916,202,Tier 3,Low,Average,3,Legal,Promised,Call,0
A4194,162379,111597,150,Tier 3,Low,Average,2,Legal,Promised,Call,0
A4195,110388,59652,149,Tier 3,Low,Average,3,Call,No Response,Field,19479
A4196,120768,83770,104,Tier 1,Medium,Poor,1,Field,Promised,Call,0
A4197,65428,52349,50,Tier 2,Medium,Good,3,Legal,No Response,Legal,0
A4198,122021,92348,11,Tier 3,Medium,Average,5,Field,No Response,Call,64222
A4199,148418,125750,287,Tier 3,Low,Good,3,Call,Promised,Call,79033
A4200,162212,85606,159,Tier 3,Medium,Average,1,Legal,Promised,Legal,0
A4201,185914,119407,50,Tier 3,Medium,Average,6,Call,No Response,Call,0
A4202,56421,51321,125,Tier 2,Medium,Good,6,Legal,No Response,Call,21203
A4203,31708,17120,129,Tier 1,Medium,Good,3,Legal,No Response,Legal,0
A4204,164702,152801,246,Tier 1,Medium,Average,2,Legal,Refused,Legal,0
A4205,180667,98634,279,Tier 1,High,Good,3,Call,Paid,Call,44703
A4206,106021,97245,18,Tier 1,Low,Good,5,None,Paid,Legal,0
A4207,189380,128853,248,Tier 1,Medium,Good,5,Field,No Response,Call,88680
A4208,74789,60287,127,Tier 1,Medium,Good,4,Legal,Refused,Call,47694
A4209,56086,32330,19,Tier 1,Medium,Average,2,Field,No Response,Field,0
A4210,46859,24979,34,Tier 3,Medium,Poor,2,Call,Promised,Legal,0
A4211,37684,22910,182,Tier 1,Medium,Poor,3,Call,No Response,Call,0
A4212,121088,68284,234,Tier 1,High,Average,3,Call,No Response,Field,23620
A4213,162279,106487,20,Tier 2,Medium,Poor,5,Field,No Response,Call,0
A4214,76099,57621,110,Tier 3,Medium,Good,4,Call,Refused,Legal,0
A4215,96093,76334,274,Tier 1,Medium,Good,1,Field,Promised,Call,0
A4216,190761,170718,92,Tier 1,Medium,Poor,3,Field,No Response,Call,0
A4217,78651,65132,285,Tier 1,Medium,Average,2,Call,No Response,Legal,0
A4218,43893,35306,270,Tier 1,High,Average,6,Call,Refused,Legal,0
A4219,96418,68060,230,Tier 1,Medium,Poor,3,Call,Refused,Field,0
A4220,155074,114274,228,Tier 2,High,Poor,7,Legal,No Response,Call,0
A4221,133065,94111,98,Tier 3,Medium,Poor,4,Call,No Response,Field,0
A4222,160351,147696,24,Tier 2,Medium,Good,2,Call,No Response,Legal,90569
A4223,68635,42210,255,Tier 2,High,Poor,6,Field,No Response,Field,0
A4224,125071,62893,185,Tier 1,Low,Average,6,Field,Paid,Call,0
A4225,108518,89598,13,Tier 2,High,Poor,4,Call,Promised,Legal,21914
A4226,136233,81907,30,Tier 2,High,Average,2,Call,Refused,Legal,0
A4227,133651,126307,217,Tier 2,High,Good,3,Call,Promised,Field,31387
A4228,102805,95559,146,Tier 3,Low,Average,4,Call,Promised,Legal,0
A4229,189136,101823,225,Tier 1,High,Average,5,Call,Refused,Call,0
A4230,152813,84535,126,Tier 3,Medium,Average,2,Call,Promised,Call,39781
A4231,109063,81533,188,Tier 3,Medium,Average,4,Call,Promised,Call,0
A4232,32454,26112,255,Tier 1,Medium,Average,4,Call,Refused,Legal,0
A4233,50878,32432,137,Tier 1,Medium,Poor,1,Legal,Promised,Legal,0
A4234,174063,149415,87,Tier 1,Low,Average,1,Field,No Response,Legal,31529
A4235,98344,78425,238,Tier 2,Medium,Good,6,Legal,No Response,Field,0
A4236,134946,89389,271,Tier 1,Low,Average,3,None,Refused,Field,0
A4237,66593,34141,91,Tier 1,Medium,Poor,5,None,Paid,Legal,0
A4238,66304,58020,75,Tier 3,Medium,Poor,5,Call,Promised,Field,0
A4239,191458,116287,105,Tier 1,Medium,Average,4,Call,No Response,Call,86781
A4240,143613,131727,154,Tier 1,Low,Poor,4,Field,No Response,Call,0
A4241,182155,129356,74,Tier 3,Low,Good,7,Legal,Promised,Legal,0
A4242,48354,38129,18,Tier 3,Medium,Good,6,Field,No Response,Call,16463
A4243,52190,48874,195,Tier 1,Medium,Average,4,Call,Refused,Call,20953
A4244,36142,33677,167,Tier 1,Medium,Average,2,Field,Paid,Field,0
A4245,189470,129930,40,Tier 2,Medium,Average,3,Call,Paid,Legal,0
A4246,71862,43436,160,Tier 3,Medium,Average,3,Legal,Paid,Call,0
A4247,180575,160273,251,Tier 3,High,Average,1,Field,No Response,Call,63385
A4248,155438,111377,165,Tier 1,Low,Average,6,Field,Paid,Legal,42247
A4249,78456,46761,68,Tier 2,Low,Good,4,Call,No Response,Call,0
A4250,130167,123946,19,Tier 2,Low,Poor,4,Field,Refused,Legal,0
A4251,112035,67114,133,Tier 3,Low,Poor,2,Field,Paid,Call,17179
A4252,38016,19498,291,Tier 2,High,Poor,4,Field,Promised,Call,0
A4253,32384,16520,246,Tier 2,High,Average,4,Legal,Promised,Legal,9324
A4254,176144,142880,26,Tier 1,High,Average,3,Legal,Promised,Call,0
A4255,132239,109869,32,Tier 1,Medium,Poor,7,Field,No Response,Call,38676
A4256,141431,92710,18,Tier 2,Medium,Poor,4,Legal,Paid,Legal,37846
A4257,110018,72612,216,Tier 1,Medium,Poor,6,Call,Refused,Field,0
A4258,70510,47223,54,Tier 2,Medium,Average,2,Call,Refused,Call,0
A4259,51826,43537,36,Tier 1,High,Good,2,Field,No Response,Field,17487
A4260,98026,51862,197,Tier 3,Low,Average,5,Call,Refused,Legal,0
A4261,151668,146292,149,Tier 1,Medium,Average,5,Call,Promised,Legal,0
A4262,186590,114055,18,Tier 3,High,Poor,1,Call,No Response,Call,0
A4263,54045,54036,243,Tier 2,High,Average,2,Field,Promised,Field,21818
A4264,120102,70351,101,Tier 1,High,Good,6,Call,Paid,Field,51190
A4265,81919,72561,86,Tier 1,Medium,Good,2,Call,Paid,Call,35016
A4266,129441,79179,253,Tier 3,High,Good,6,Call,No Response,Field,0
A4267,188175,101694,164,Tier 1,Low,Average,6,Field,Refused,Call,0
A4268,197260,184924,227,Tier 1,Low,Poor,3,Call,Promised,Call,0
A4269,166917,155128,294,Tier 1,Medium,Average,5,None,Refused,Call,0
A4270,197746,138775,159,Tier 2,High,Good,6,Legal,Refused,Field,0
A4271,148325,126253,97,Tier 1,Low,Average,7,Call,No Response,Call,0
A4272,49337,38410,115,Tier 3,Medium,Average,1,Field,No Response,Field,0
A4273,183385,169902,104,Tier 3,Medium,Average,3,Call,No Response,Call,0
A4274,188015,123625,262,Tier 3,Medium,Average,6,Legal,Refused,Field,62552
A4275,107949,82239,48,Tier 1,Low,Good,7,Call,Paid,Call,55134
A4276,30276,22485,264,Tier 3,Low,Poor,7,Call,Promised,Call,0
A4277,81151,54935,63,Tier 2,High,Average,3,Legal,Promised,Field,0
A4278,178683,168985,252,Tier 3,Medium,Average,5,Call,Refused,Call,0
A4279,173016,100857,119,Tier 2,Medium,Poor,3,Field,Paid,Field,0
A4280,82887,47639,263,Tier 1,Medium,Poor,5,Legal,No Response,Legal,0
A4281,111442,87866,121,Tier 3,Low,Poor,2,Legal,No Response,Call,33804
A4282,79847,66172,183,Tier 2,Low,Good,2,Call,No Response,Call,0
A4283,88653,52953,198,Tier 3,Low,Poor,5,Legal,Refused,Call,0
A4284,86622,60233,230,Tier 1,Low,Average,6,Call,Promised,Legal,0
A4285,57810,56265,258,Tier 3,Low,Good,4,Field,Promised,Field,36927
A4286,107842,67218,61,Tier 1,Medium,Poor,4,Field,No Response,Field,0
A4287,152225,126983,171,Tier 1,High,Good,1,Call,Refused,Field,0
A4288,40503,35240,44,Tier 2,High,Poor,4,Field,No Response,Legal,10864
A4289,114761,83094,46,Tier 2,High,Good,1,Field,Refused,Call,51934
A4290,198048,191861,120,Tier 2,Medium,Average,7,Legal,No Response,Field,0
